doc_id,pdf_url,motivation,Motivations (select),Done
72,https://arxiv.org/pdf/1904.10788.pdf,"In this era of high-performance computing, human-computer interaction (HCI) has become pervasive. To enrich the user experience, the system is often required to detect human emotion and produce a response with proper emotional context [1, 2].
1] Rosalind W Picard, “Affective computing: challenges,” International Journal of Human-Computer Studies, vol. 59, no. 1-2, pp. 55–64, 2003.
[2] Carlos Busso, Murtaza Bulut, Shrikanth Narayanan, J Gratch, and S Marsella, “Toward effective automatic recognition systems of emotion in speech,” Social emotions in nature and artifact: emotions in human and human-computer interaction, J. Gratch and S. Marsella, Eds, pp. 110–127, 2013.
Beside HCI, the output of emotion recognition engine is beneficial in the paralinguistic area as well [3].
[3] Agata Ko?akowska, Agnieszka Landowska, Mariusz Szwoch,
Wioleta Szwoch, and Michal R Wrobel, “Emotion recognition and its applications,” in Human-Computer Systems Interaction: Backgrounds and Applications 3, pp. 51–62. Springer,
2014.",HCI: Chatbots,TRUE
73,https://www.isca-archive.org/icslp_2002/makarova02_icslp.html,"""Lifelike software agents expand in our computerized working space, while our homes are invaded by robotic interactive toys, such
as Tiger’s Furbies and Sony’s Aibo, who are supposed to be able to express and understand emotions. A new field of research in AI known as affective computing has recently been identified [3].""
[3] Picard, R. Affective computing. The MIT Press. 1997","HCI: Chatbots, Affective computing/HCI",TRUE
74,http://ieeexplore.ieee.org/document/4959521/,"""For example, recognizing affective content of music signals ([3], [4]) can be used in a system, where the users will be able to retrieve musical data with regard to affective content. In a similar way, affective content recognition in video data could be used for retrieving videos that contain specific emotions. In this paper, we emphasize on affective content that can be retrieved from the speech information of movies.""",Other / misc,TRUE
75,https://www.isca-archive.org/interspeech_2018/yang18c_interspeech.html,"""In recent years, increasing attention has been given to the study of the emotional content in speech signals, and many systems have been proposed for automatic emotion recognition in speech.""",Prior work,TRUE
76,,"""However, the applications of SDSs are still limited to simple informational dialog systems, such as navigation systems and air travel information systems [1], [2]. To enable more complex applications (e.g., home nursing [3], educational/tutoring, and chatting [4]), new capabilities such as affective interaction are needed. However, to achieve the goal of affective interaction via speech, several problems in speech technologies, including low accuracy in recognition of highly affective speech and lack of affectrelated common sense and basic knowledge, still exist""","HCI: Chatbots, Other / misc",TRUE
77,https://www.isca-archive.org/interspeech_2023/gao23d_interspeech.html,"Affective computing + Motivation is drawn from prior work rather than the impact of the task itself

general ""it's important"" motivation + past work has found that ""gender"" & other speech features are helpful with other models

not sure if the first background paragraph is saying that using pre-trained features + more basic SER models can show improved performance over just basic SER models alone",HCI: Chatbots,TRUE
78,https://opus.bibliothek.uni-augsburg.de/opus4/files/90748/latif20b_interspeech.pdf,"technical
increase robustness to different audio environments",Prior work,TRUE
79,https://www.pure.ed.ac.uk/ws/files/305860313/SLT_2022_final.pdf,"technical

are features learned by models useful for all downstream tasks?

With these questions in mind, we study wav2vec 2.0 [17]
on emotional corpora, demonstrating how this type of selfsupervised model can be explored for downstream tasks. Our
experiments show that: 1) wav2vec 2.0 appears to discard
some paralinguistic information that is less useful for word
recognition purposes and does not treat all emotions and paralinguistic features equally; 2) for SER, representations from
the final layer could result in the worst performance in some
cases; 3) current self-supervised models need to be carefully
fine-tuned to adapt to downstream tasks that make use of nonlexical features. We hope our findings can provide the research community with a new perspective to look at the effectiveness and usage of self-supervised models",Prior work,TRUE
80,https://arxiv.org/pdf/1904.10788.pdf,"general ""HCI""

To enrich the user experience,
the system is often required to detect human emotion and produce a
response with proper emotional context [1, 2]. The first step in such
an HCI involves building a system that recognizes emotion from the
speech utterance. A speech emotional system aims to identify audio recording as belonging to one of the categories, like happy, sad,
angry or neutral. Beside HCI, the output of emotion recognition engine is beneficial in the paralinguistic area as well",HCI: Chatbots,TRUE
81,https://www.isca-archive.org/icslp_2002/makarova02_icslp.html,"The database
was created with two major objectives. First, it is a tool for
linguistic investigation of emotion expression in some major
intonation contours of Russian. Second, it serves as a source of training and test data needed to create recognition systems for
basic emotions. The database allows designing recognizers for
the following levels of generality: speaker-and-genderindependent, gender-dependent and speaker-dependent.",Prior work,TRUE
82,,"With the exponential growth in available computing power and significant progress in speech technologies, spoken dialogue systems (SDS) have been successfully applied to several domains. However, the applications of SDSs are still limited to simple informational dialog systems, such as navigation systems and air travel information systems [1], [2]. To enable more complex applications (e.g., home nursing [3], educational/tutoring, and chatting [4]), new capabilities such as affective interaction are needed. However, to achieve the goal of affective interaction via speech, several problems in speech technologies, including low accuracy in recognition of highly affective speech and lack of affectrelated common sense and basic knowledge, still exist.","HCI: Chatbots, Affective computing/HCI, Other / misc",TRUE
